tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,year,month
1939,1/1/2016 0:08,1/1/2016 0:40,36,Boston Public Library - 700 Boylston St.,42.349673,-71.077303,19,Buswell St. at Park Dr.,42.347241,-71.105301,1406,Subscriber,\N,0,2016,1
1927,1/1/2016 0:08,1/1/2016 0:40,36,Boston Public Library - 700 Boylston St.,42.349673,-71.077303,19,Buswell St. at Park Dr.,42.347241,-71.105301,1121,Subscriber,\N,0,2016,1
1813,1/1/2016 0:10,1/1/2016 0:40,36,Boston Public Library - 700 Boylston St.,42.349673,-71.077303,19,Buswell St. at Park Dr.,42.347241,-71.105301,474,Subscriber,\N,0,2016,1
1788,1/1/2016 0:10,1/1/2016 0:40,36,Boston Public Library - 700 Boylston St.,42.349673,-71.077303,19,Buswell St. at Park Dr.,42.347241,-71.105301,1504,Subscriber,\N,0,2016,1
941,1/1/2016 0:15,1/1/2016 0:31,36,Boston Public Library - 700 Boylston St.,42.349673,-71.077303,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,913,Customer,1990,1,2016,1
323,1/1/2016 0:17,1/1/2016 0:22,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,620,Subscriber,1993,1,2016,1
1072,1/1/2016 0:25,1/1/2016 0:43,107,Ames St at Main St,42.3625,-71.08822,176,Lesley University,42.38674802,-71.11901879,204,Subscriber,1984,2,2016,1
452,1/1/2016 0:25,1/1/2016 0:32,141,Kendall Street,42.36356016,-71.08216792,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,750,Subscriber,1965,1,2016,1
285,1/1/2016 0:45,1/1/2016 0:49,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,909,Subscriber,\N,0,2016,1
225,1/1/2016 0:47,1/1/2016 0:51,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,813,Subscriber,1990,1,2016,1
407,1/1/2016 0:54,1/1/2016 1:00,72,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,1281,Subscriber,1988,1,2016,1
178,1/1/2016 0:58,1/1/2016 1:01,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,177,University Park,42.36264779,-71.10006094,661,Subscriber,\N,0,2016,1
