Id2,Total,No schooling completed,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree
250250001001,1416,94,0,0,0,0,10,6,0,0,0,181,0,6,30,40,316,100,20,51,25,453,41,18,25
250250001002,753,26,0,0,0,0,0,0,0,0,6,0,0,0,13,15,79,34,9,62,38,242,191,0,38
250250001003,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,34,0,0,10,10,163,128,30,11
250250001004,838,26,0,0,0,0,0,0,0,0,0,0,0,0,8,9,226,24,53,58,58,243,84,16,33
250250002011,890,22,0,0,0,0,0,0,0,0,0,26,0,0,0,0,162,22,13,37,28,438,89,31,22
250250002012,537,0,0,0,0,0,0,0,12,0,0,0,0,0,0,8,18,7,12,75,42,273,58,32,0
250250002013,999,13,0,0,0,0,19,0,15,12,0,11,0,13,13,55,82,19,29,116,16,365,185,12,24
250250002014,489,0,0,0,0,0,0,0,7,0,0,0,0,8,0,0,49,19,12,36,8,221,86,17,26
250250002021,897,28,0,0,0,0,0,0,6,0,0,0,0,4,62,0,60,12,63,153,39,315,143,12,0
250250002022,874,0,0,0,0,0,9,0,0,0,0,13,12,0,0,9,74,0,28,110,13,430,106,10,60
250250002023,616,38,0,0,0,0,0,0,6,0,0,0,57,0,5,12,92,25,6,34,36,116,139,0,50
250250002024,298,21,0,0,0,0,13,0,0,0,0,0,30,0,0,24,54,30,28,33,32,12,21,0,0
250250003011,489,20,0,0,0,0,0,9,35,0,0,0,0,0,0,0,99,0,0,40,13,224,29,20,0
250250003012,773,14,0,0,0,0,0,0,0,0,0,0,4,4,0,13,134,11,4,3,9,400,114,11,52
250250003013,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,21,0,130,124,24,0
250250003014,389,0,0,0,0,0,0,0,0,12,0,0,34,0,0,19,102,0,9,38,28,46,65,21,15
250250003021,1283,43,0,0,0,0,0,0,25,0,0,0,0,0,40,20,193,0,47,98,24,540,179,30,44
250250003022,1195,22,0,0,0,0,11,0,0,0,0,0,0,0,0,30,50,26,85,96,18,460,213,19,165
250250004011,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,16,526,169,31,0
250250004012,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,32,16,26,35,273,145,0,62
250250004013,759,26,0,0,0,0,0,0,0,0,0,0,0,0,0,53,44,0,21,147,33,256,131,32,16
250250004014,1752,116,0,0,0,0,0,0,52,104,0,108,40,98,0,15,211,37,15,121,16,410,205,112,92
250250004021,689,0,0,0,0,0,0,0,0,7,0,7,0,4,7,11,52,0,36,54,10,284,155,16,46
250250004022,702,0,0,0,0,0,0,0,0,10,0,7,0,0,0,0,67,0,43,3,18,316,160,22,56
250250004023,1093,0,0,0,0,0,0,0,0,0,0,3,0,0,9,3,141,0,12,65,24,463,301,0,72
250250005021,749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,23,9,81,357,220,28,21
250250005022,571,0,0,0,0,0,0,0,0,0,0,0,8,0,12,18,36,25,30,12,27,157,184,28,34
250250005023,1056,10,0,0,0,0,1,0,0,0,0,0,0,0,2,0,78,32,41,75,30,431,190,60,106
250250005024,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
250250005031,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,9,49,19,274,157,8,25
250250005032,941,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,30,0,19,71,20,377,305,29,74
