Id2,Total
2.5025E+11,795
2.5025E+11,398
2.5025E+11,178
2.5025E+11,461
2.5025E+11,480
2.5025E+11,222
2.5025E+11,529
2.5025E+11,318
2.5025E+11,511
2.5025E+11,417
2.5025E+11,340
2.5025E+11,286
2.5025E+11,220
2.5025E+11,360
2.5025E+11,243
2.5025E+11,333
2.5025E+11,727
2.5025E+11,645
2.5025E+11,667
2.5025E+11,431
2.5025E+11,423
2.5025E+11,1227
2.5025E+11,526
2.5025E+11,343
2.5025E+11,625
2.5025E+11,515
2.5025E+11,530
2.5025E+11,842
2.5025E+11,0
2.5025E+11,459
2.5025E+11,881
2.5025E+11,631
2.5025E+11,906
2.5025E+11,713
2.5025E+11,375
2.5025E+11,166
2.5025E+11,556
2.5025E+11,260
2.5025E+11,489
2.5025E+11,605
2.5025E+11,540
2.5025E+11,828
2.5025E+11,381
2.5025E+11,257
2.5025E+11,289
2.5025E+11,468
2.5025E+11,818
2.5025E+11,525
2.5025E+11,542
2.5025E+11,776
2.5025E+11,485
2.5025E+11,632
2.5025E+11,539
2.5025E+11,458
2.5025E+11,696
2.5025E+11,212
2.5025E+11,664
2.5025E+11,785
2.5025E+11,796
2.5025E+11,0
2.5025E+11,398
2.5025E+11,42
2.5025E+11,81
2.5025E+11,800
2.5025E+11,547
2.5025E+11,599
2.5025E+11,584
2.5025E+11,1204
2.5025E+11,1265
2.5025E+11,378
2.5025E+11,280
2.5025E+11,421
2.5025E+11,402
2.5025E+11,147
2.5025E+11,150
2.5025E+11,764
2.5025E+11,666
2.5025E+11,599
2.5025E+11,890
2.5025E+11,145
2.5025E+11,412
2.5025E+11,6
2.5025E+11,554
2.5025E+11,393
2.5025E+11,929
2.5025E+11,311
2.5025E+11,799
2.5025E+11,661
2.5025E+11,1707
2.5025E+11,804
2.5025E+11,552
2.5025E+11,516
2.5025E+11,610
2.5025E+11,592
2.5025E+11,404
2.5025E+11,680
2.5025E+11,445
2.5025E+11,706
2.5025E+11,842
2.5025E+11,727
2.5025E+11,905
2.5025E+11,512
2.5025E+11,473
2.5025E+11,759
2.5025E+11,900
2.5025E+11,802
2.5025E+11,934
2.5025E+11,778
2.5025E+11,659
2.5025E+11,248
2.5025E+11,1195
2.5025E+11,709
2.5025E+11,678
2.5025E+11,476
2.5025E+11,1007
2.5025E+11,884
2.5025E+11,535
2.5025E+11,1081
2.5025E+11,1550
2.5025E+11,526
2.5025E+11,487
2.5025E+11,668
2.5025E+11,920
2.5025E+11,759
2.5025E+11,391
2.5025E+11,692
2.5025E+11,601
2.5025E+11,585
2.5025E+11,745
2.5025E+11,277
2.5025E+11,486
2.5025E+11,374
2.5025E+11,730
2.5025E+11,298
2.5025E+11,366
2.5025E+11,404
2.5025E+11,966
2.5025E+11,411
2.5025E+11,549
2.5025E+11,927
2.5025E+11,568
2.5025E+11,291
2.5025E+11,1430
2.50251E+11,548
2.50251E+11,722
2.50251E+11,755
2.50251E+11,757
2.50251E+11,522
2.50251E+11,327
2.50251E+11,380
2.50251E+11,290
2.50251E+11,890
2.50251E+11,294
2.50251E+11,806
2.50251E+11,803
2.50251E+11,500
2.50251E+11,423
2.50251E+11,829
2.50251E+11,510
2.50251E+11,449
2.50251E+11,547
2.50251E+11,702
2.50251E+11,310
2.50251E+11,911
