Id2,Total,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Two races including Some other race,"Two races excluding Some other race, and three or more races"
250250001001,2086,848,108,0,706,0,403,21,10,11
250250001002,918,639,30,0,126,0,123,0,0,0
250250001003,536,467,25,0,35,0,0,9,9,0
250250001004,1128,739,111,0,177,0,73,28,0,28
250250002011,1225,916,58,0,189,0,54,8,0,8
250250002012,624,543,0,0,73,0,0,8,0,8
250250002013,1334,1195,51,0,61,0,0,27,27,0
250250002014,674,466,89,0,70,0,19,30,0,30
250250002021,1262,1126,70,0,51,0,10,5,0,5
250250002022,992,831,37,0,118,0,0,6,0,6
250250002023,929,571,58,0,285,0,15,0,0,0
250250002024,799,241,171,0,16,0,347,24,0,24
250250003011,679,384,54,0,143,0,98,0,0,0
250250003012,974,844,29,0,101,0,0,0,0,0
250250003013,590,446,78,0,66,0,0,0,0,0
250250003014,662,395,9,0,124,0,125,9,0,9
250250003021,1593,1101,135,0,215,61,62,19,12,7
250250003022,1792,1157,252,0,318,0,45,20,0,20
250250004011,1211,988,0,0,183,0,16,24,0,24
250250004012,828,674,0,0,125,0,0,29,0,29
250250004013,1084,868,18,0,130,0,0,68,0,68
250250004014,1989,1096,48,0,800,0,15,30,0,30
250250004021,1069,783,58,0,147,0,0,81,0,81
250250004022,935,638,13,0,221,0,10,53,26,27
250250004023,1427,1154,22,0,188,0,0,63,0,63
250250005021,1014,951,0,11,46,0,0,6,0,6
250250005022,783,666,35,0,82,0,0,0,0,0
250250005023,1250,1132,28,0,67,0,10,13,0,13
250250005024,2834,2172,63,0,428,0,35,136,45,91
250250005031,789,583,0,15,62,0,0,129,0,129
250250005032,1334,1121,40,0,91,0,39,43,8,35
250250005041,1178,911,8,56,119,0,0,84,0,84
250250005042,1433,1127,29,0,199,0,0,78,0,78
250250005043,1213,978,28,0,165,0,29,13,0,13
250250005044,625,475,41,22,87,0,0,0,0,0
250250006011,810,618,26,0,101,0,0,65,15,50
250250006012,1315,752,37,0,431,0,84,11,0,11
250250006013,617,522,24,14,49,0,0,8,0,8
250250006014,1058,749,36,0,156,0,106,11,0,11
250250006021,1338,804,80,0,357,0,36,61,0,61
250250006022,1010,702,45,11,137,0,84,31,0,31
250250006023,1548,583,300,0,261,0,404,0,0,0
250250007011,685,461,37,8,118,0,16,45,0,45
250250007012,515,238,126,25,121,0,5,0,0,0
250250007013,582,358,153,31,27,0,0,13,0,13
250250007014,719,497,13,0,157,39,0,13,0,13
250250007015,1795,1330,21,0,409,0,0,35,6,29
250250007031,862,406,67,0,351,0,21,17,9,8
250250007032,1064,723,34,0,264,0,28,15,0,15
250250007041,1653,1024,101,6,328,0,162,32,0,32
250250007042,764,465,54,0,215,0,17,13,0,13
250250007043,1139,643,14,0,451,0,0,31,0,31
250250007044,1026,141,256,0,345,0,244,40,21,19
250250008021,1046,727,49,0,135,0,101,34,0,34
250250008022,1666,1058,158,0,173,0,226,51,0,51
250250008023,665,353,9,0,53,0,216,34,0,34
250250008024,1515,1065,81,16,256,0,78,19,0,19
250250008025,1706,1008,56,0,422,0,172,48,17,31
250250008031,2622,1644,261,7,575,0,35,100,31,69
250250008032,3635,2430,292,0,666,0,78,169,58,111
250250101031,1071,607,35,0,300,0,13,116,19,97
250250101032,1148,579,66,1,431,0,53,18,0,18
250250101033,1495,1043,43,0,252,0,44,113,8,105
250250101041,1279,1071,27,0,122,0,37,22,0,22
250250101042,2522,1694,56,0,529,0,111,132,0,132
250250101043,1090,670,27,0,199,0,36,158,0,158
250250102031,1177,986,5,0,82,0,89,15,0,15
250250102032,1973,1326,17,0,493,0,94,43,0,43
250250102033,1674,1018,76,0,537,0,32,11,0,11
250250102034,350,302,0,0,48,0,0,0,0,0
250250102041,1301,883,19,17,317,9,29,27,2,25
250250102042,1343,875,35,0,363,0,22,48,8,40
250250102043,710,410,0,0,244,0,39,17,17,0
250250103001,1394,1068,79,12,109,0,103,23,13,10
250250103002,3995,2969,254,5,502,4,136,125,30,95
250250104031,1005,623,205,7,143,0,27,0,0,0
250250104032,967,606,57,0,178,0,126,0,0,0
250250104033,897,633,35,19,136,0,0,74,0,74
250250104041,1915,1229,125,6,451,18,65,21,0,21
250250104042,1676,1083,54,5,430,0,53,51,15,36
250250104043,1543,1049,91,0,303,0,42,58,0,58
250250104051,3056,2194,261,0,357,5,65,174,48,126
250250104052,2300,1609,169,0,280,9,136,97,9,88
250250104053,725,334,162,0,195,0,23,11,5,6
250250104081,1381,990,42,0,308,0,16,25,6,19
250250105001,1038,679,53,0,191,0,53,62,0,62
250250105002,1233,835,8,0,293,0,75,22,0,22
250250105003,1120,774,215,0,78,0,53,0,0,0
250250106001,2061,1498,168,15,380,0,0,0,0,0
250250106002,1066,812,160,0,94,0,0,0,0,0
250250107011,1135,953,7,5,121,0,0,49,0,49
250250107012,734,665,18,0,51,0,0,0,0,0
250250107013,837,596,13,0,121,0,89,18,0,18
250250107021,806,748,26,7,20,0,0,5,0,5
250250107022,770,645,13,0,71,0,13,28,0,28
250250107023,1011,969,19,0,23,0,0,0,0,0
250250108011,865,663,51,0,136,0,6,9,0,9
250250108012,1226,1161,14,0,15,0,13,23,11,12
250250108013,1113,1060,0,0,36,0,0,17,0,17
250250108021,1078,903,14,0,108,0,24,29,0,29
250250108022,1502,1373,28,0,75,0,13,13,0,13
250250108023,581,567,0,0,14,0,0,0,0,0
250250201011,738,592,41,0,0,0,0,105,0,105
250250201012,972,888,0,0,76,0,0,8,0,8
250250201013,1631,1506,0,0,125,0,0,0,0,0
250250201014,1569,1460,12,0,63,0,0,34,0,34
250250202001,1350,1078,103,0,120,0,25,24,0,24
250250202002,1158,980,35,0,111,0,32,0,0,0
250250202003,1279,1197,0,0,54,0,0,28,0,28
250250203011,413,247,12,0,154,0,0,0,0,0
250250203012,1942,1550,32,0,269,0,9,82,7,75
250250203021,1054,980,0,0,54,0,0,20,0,20
250250203031,960,718,9,0,211,0,9,13,0,13
250250203032,1343,789,295,7,100,0,131,21,0,21
250250203033,1515,932,96,0,195,0,250,42,0,42
250250301001,1422,1363,0,0,59,0,0,0,0,0
250250301002,833,820,0,0,0,0,13,0,0,0
250250302001,1697,1599,28,0,33,0,13,24,0,24
250250303001,2187,1861,86,0,225,0,0,15,0,15
250250303002,1453,1188,142,0,42,0,64,17,0,17
250250303003,1252,928,201,22,47,0,34,20,0,20
250250303004,690,518,0,0,172,0,0,0,0,0
250250304001,1541,1445,3,0,73,0,20,0,0,0
250250304002,1206,1122,21,0,0,0,24,39,0,39
250250305001,663,580,13,0,58,0,0,12,0,12
250250305002,1082,971,2,0,35,0,25,49,0,49
250250305003,827,724,0,0,42,0,22,39,27,12
250250401001,1062,1032,0,0,22,0,0,8,0,8
250250401002,1403,1392,0,0,11,0,0,0,0,0
250250402001,917,219,399,0,7,0,147,145,6,139
250250402002,1007,921,0,0,86,0,0,0,0,0
250250403001,869,248,137,0,354,0,96,34,8,26
250250403002,1284,1209,0,0,43,0,0,32,12,20
250250403003,568,519,0,0,24,0,0,25,0,25
250250403004,700,653,0,0,22,0,0,25,0,25
250250403005,771,756,0,0,8,0,0,7,0,7
250250404011,2078,1748,26,0,130,0,134,40,0,40
250250404012,675,609,0,0,37,0,0,29,0,29
250250406001,1153,913,108,0,68,0,1,63,0,63
250250406002,1928,1805,0,0,77,0,18,28,0,28
250250408011,1250,274,732,0,11,0,153,80,0,80
250250408012,896,134,235,0,387,0,100,40,0,40
250250408013,2340,2222,22,0,67,0,15,14,0,14
250250501011,1968,1213,51,215,132,0,109,248,0,248
250250501012,1486,699,136,14,67,0,224,346,0,346
250250501013,1905,1327,20,0,42,0,58,458,56,402
250250502001,2286,1362,55,56,39,0,45,729,96,633
250250502002,1292,708,68,0,105,0,104,307,0,307
250250502003,1054,444,85,0,39,0,11,475,35,440
250250502004,1493,902,14,0,84,0,111,382,0,382
250250503001,649,388,27,0,0,0,94,140,21,119
250250503002,1639,950,321,0,153,0,36,179,5,174
250250504001,570,449,8,0,10,0,16,87,4,83
250250504002,1990,1531,24,0,16,0,175,244,45,199
250250505001,2502,1885,42,0,53,0,40,482,17,465
250250506001,1334,968,39,0,20,0,12,295,0,295
250250506002,1075,576,145,0,25,0,14,315,0,315
250250507001,2798,1259,0,0,0,0,79,1460,21,1439
250250507002,1503,731,68,0,51,0,35,618,0,618
250250507003,1293,593,0,0,25,0,125,550,0,550
250250509011,1565,1004,20,0,30,0,144,367,0,367
250250509012,1873,1077,29,0,94,0,21,652,77,575
250250509013,1080,529,0,0,70,0,21,460,43,417
250250510001,2134,1658,117,0,0,0,162,197,0,197
250250510002,1255,665,63,89,145,0,29,264,45,219
250250510003,1270,924,0,0,39,24,0,283,55,228
250250511011,2242,1692,0,0,0,0,27,523,89,434
250250511012,2185,1424,66,0,271,0,115,309,32,277
250250511013,1805,1195,0,0,42,0,0,568,0,568
250250511014,1085,823,36,0,101,0,0,125,0,125
250250512001,204,145,0,13,36,0,10,0,0,0
250250512002,1805,1222,18,0,63,0,57,445,0,445
250250512003,889,822,0,0,25,0,42,0,0,0
250250601011,1142,1142,0,0,0,0,0,0,0,0
250250601012,674,674,0,0,0,0,0,0,0,0
250250601013,1009,982,6,0,0,0,0,21,0,21
250250601014,805,689,39,0,71,0,0,6,0,6
250250602001,992,958,1,0,20,0,8,5,5,0
250250602002,1338,1284,6,0,38,0,0,10,0,10
250250603011,1354,1297,9,0,0,0,32,16,0,16
250250603012,704,693,0,0,11,0,0,0,0,0
250250603013,1524,1483,14,0,20,0,7,0,0,0
250250604001,1396,1396,0,0,0,0,0,0,0,0
250250604002,1230,1230,0,0,0,0,0,0,0,0
250250604003,1206,1158,34,0,14,0,0,0,0,0
250250604004,987,813,69,0,66,0,39,0,0,0
250250604005,833,723,24,0,61,0,25,0,0,0
250250605011,922,902,0,0,0,0,0,20,0,20
250250605012,1278,1174,28,0,59,0,0,17,0,17
250250605013,761,722,13,0,10,0,0,16,0,16
250250605014,727,710,0,0,17,0,0,0,0,0
250250605015,515,497,0,0,18,0,0,0,0,0
250250606001,3219,2711,84,0,347,0,2,75,33,42
250250607001,955,214,457,0,95,0,148,41,1,40
250250607002,1669,488,540,0,145,0,314,182,79,103
250250608001,621,589,0,0,0,0,0,32,0,32
250250608002,1018,854,2,18,92,0,0,52,0,52
250250608003,903,787,0,50,66,0,0,0,0,0
250250608004,1827,1584,7,0,104,0,132,0,0,0
250250610001,1355,1119,196,0,0,0,0,40,0,40
250250610002,1162,432,430,0,41,0,252,7,7,0
250250610003,777,426,96,0,41,0,204,10,0,10
250250611011,540,261,141,0,77,0,46,15,5,10
250250611012,1723,508,485,0,332,0,369,29,5,24
250250612001,2499,2300,38,0,132,0,0,29,11,18
250250612002,597,531,13,0,16,0,0,37,0,37
250250612003,1169,1136,1,1,21,0,0,10,0,10
250250701011,1056,859,14,0,167,0,0,16,16,0
250250701012,441,128,31,0,282,0,0,0,0,0
250250701013,824,467,13,0,297,0,15,32,0,32
250250701014,1875,1450,51,0,262,0,37,75,0,75
250250701015,306,110,0,0,32,0,0,164,0,164
250250701016,562,420,0,0,137,0,0,5,0,5
250250701017,1075,398,11,0,647,0,0,19,0,19
250250701018,357,312,20,0,18,0,0,7,0,7
250250702001,1114,121,14,0,932,0,20,27,3,24
250250702002,1108,11,8,0,1089,0,0,0,0,0
250250702003,3281,1911,33,0,1222,0,17,98,11,87
250250703001,1142,868,13,0,216,0,0,45,0,45
250250703002,854,763,0,0,91,0,0,0,0,0
250250703003,1198,979,0,0,24,0,58,137,18,119
250250703004,1259,911,63,0,147,0,20,118,31,87
250250704021,2207,543,329,15,1247,0,54,19,0,19
250250705001,2110,1779,0,0,290,0,0,41,0,41
250250705002,506,32,0,38,289,0,31,116,57,59
250250705003,1743,1009,76,0,338,0,264,56,0,56
250250705004,1546,666,228,0,322,0,219,111,0,111
250250706001,1128,966,3,0,131,0,21,7,0,7
250250706002,1379,1186,105,0,55,0,26,7,0,7
250250707001,1200,718,332,0,65,0,46,39,0,39
250250707002,1583,1064,305,0,169,0,23,22,0,22
250250708001,1487,963,381,0,120,0,12,11,0,11
250250708002,1036,783,142,23,39,0,0,49,13,36
250250708003,929,755,103,0,71,0,0,0,0,0
250250709001,2040,1409,351,0,196,0,41,43,0,43
250250709002,926,358,326,0,51,0,136,55,47,8
250250711011,1866,1144,25,0,466,0,0,231,0,231
250250711012,1582,888,210,0,319,0,117,48,0,48
250250711013,738,335,148,0,132,0,101,22,0,22
250250712011,2035,1342,190,15,352,0,43,93,0,93
250250712012,1546,328,371,0,201,0,334,312,39,273
250250801001,2142,522,979,11,25,0,599,6,6,0
250250801002,582,41,369,0,0,0,168,4,0,4
250250803001,2342,178,1626,32,50,0,353,103,47,56
250250804011,1476,295,780,0,68,0,267,66,39,27
250250804012,1615,345,758,0,17,0,367,128,0,128
250250805001,1028,353,389,0,71,0,146,69,0,69
250250805002,2095,318,885,0,43,0,806,43,0,43
250250806011,2977,1724,319,35,764,0,96,39,0,39
250250806012,966,73,719,0,0,0,145,29,0,29
250250806013,391,109,202,7,8,0,35,30,0,30
250250808011,2653,1544,613,0,136,0,329,31,15,16
250250808012,1840,480,730,0,297,0,251,82,53,29
250250809001,1245,645,18,0,542,0,40,0,0,0
250250809002,1507,1145,238,35,86,0,3,0,0,0
250250809003,1034,821,21,0,173,0,0,19,0,19
250250810011,625,109,14,0,280,0,204,18,0,18
250250810012,2430,683,594,0,572,0,404,177,48,129
250250810013,833,404,157,0,272,0,0,0,0,0
250250810014,1105,633,231,0,223,0,5,13,0,13
250250811001,1352,668,139,0,249,0,285,11,0,11
250250811002,1808,903,341,0,311,0,190,63,4,59
250250811003,974,725,119,0,93,0,27,10,9,1
250250812001,2050,473,668,0,0,0,889,20,20,0
250250812002,1527,708,86,0,248,0,391,94,0,94
250250813001,1785,355,513,0,76,0,622,219,102,117
250250813002,2179,219,1407,0,61,0,439,53,0,53
250250813003,1609,327,608,0,0,0,545,129,0,129
250250814001,821,168,508,0,27,0,108,10,0,10
250250814002,693,328,238,0,43,0,56,28,8,20
250250814003,1406,560,561,0,142,0,94,49,0,49
250250815001,901,124,513,0,25,0,187,52,0,52
250250815002,1552,175,920,0,21,7,418,11,6,5
250250817001,481,0,432,0,0,0,0,49,0,49
250250817002,815,30,693,0,15,0,77,0,0,0
250250817003,719,52,443,13,0,0,133,78,29,49
250250817004,732,21,536,0,146,0,20,9,0,9
250250817005,1135,169,614,280,0,0,24,48,25,23
250250818001,1050,84,763,0,0,0,106,97,11,86
250250818002,1439,87,1136,0,0,0,25,191,0,191
250250818003,1046,5,632,0,0,0,248,161,0,161
250250819001,928,10,727,0,0,0,191,0,0,0
250250819002,826,67,617,0,23,0,83,36,0,36
250250819003,744,51,483,0,0,0,162,48,0,48
250250819004,1049,158,640,0,0,0,50,201,122,79
250250820001,1415,240,1062,0,9,0,45,59,0,59
250250820002,472,0,423,0,0,0,49,0,0,0
250250820003,1020,106,521,0,0,0,349,44,0,44
250250821001,593,48,437,0,0,0,85,23,0,23
250250821002,2501,109,1475,0,0,0,355,562,11,551
250250821003,2302,206,1630,0,32,0,283,151,0,151
250250901001,1463,125,910,0,0,0,291,137,0,137
250250901002,737,48,440,0,0,0,230,19,19,0
250250901003,792,94,506,0,0,0,162,30,11,19
250250901004,1255,0,927,0,63,0,260,5,0,5
250250901005,702,38,600,0,0,0,54,10,0,10
250250902001,730,54,440,0,0,0,107,129,13,116
250250902002,860,53,508,0,11,0,232,56,43,13
250250902003,865,94,505,0,5,0,165,96,9,87
250250903001,1008,52,739,0,0,0,217,0,0,0
250250903002,1507,117,892,0,0,0,498,0,0,0
250250903003,874,1,718,0,0,0,84,71,0,71
250250904001,474,98,270,0,0,0,106,0,0,0
250250904002,2251,189,1516,0,0,0,327,219,0,219
250250904003,760,48,471,0,143,0,0,98,98,0
250250904004,825,40,581,0,0,0,154,50,0,50
250250906001,1113,185,656,4,89,0,165,14,14,0
250250906002,1329,110,963,0,47,0,180,29,19,10
250250907001,1059,515,35,0,230,0,223,56,25,31
250250907002,1075,775,55,0,61,0,143,41,0,41
