Id2,Total,"Car, truck, or van",Public transportation (excluding taxicab),Taxicab,Motorcycle,Bicycle,Walked,Other means,Worked at home
2.5025E+11,978,767,175,0,0,14,14,0,8
2.5025E+11,689,311,242,4,0,78,54,0,0
2.5025E+11,369,138,84,0,0,60,87,0,0
2.5025E+11,702,477,136,7,0,28,37,0,17
2.5025E+11,712,478,203,0,0,19,7,0,5
2.5025E+11,520,425,65,0,0,4,20,0,6
2.5025E+11,880,504,218,0,0,107,24,0,27
2.5025E+11,451,286,138,0,0,0,19,0,8
2.5025E+11,803,449,247,0,0,34,25,10,38
2.5025E+11,783,555,187,0,0,0,32,0,9
2.5025E+11,459,359,77,0,0,0,0,0,23
2.5025E+11,194,125,58,0,0,0,11,0,0
2.5025E+11,424,265,139,0,0,0,10,0,10
2.5025E+11,634,391,206,0,0,0,8,0,29
2.5025E+11,401,222,168,0,0,0,0,0,11
2.5025E+11,338,260,53,0,0,8,6,0,11
2.5025E+11,1014,744,193,0,0,13,36,0,28
2.5025E+11,898,606,146,0,0,0,30,53,63
2.5025E+11,953,293,467,0,0,29,27,0,137
2.5025E+11,658,323,241,0,0,78,7,9,0
2.5025E+11,686,378,186,0,0,19,71,0,32
2.5025E+11,625,315,168,21,0,45,17,0,59
2.5025E+11,631,327,225,8,0,19,52,0,0
2.5025E+11,531,293,91,0,0,0,46,12,89
2.5025E+11,876,462,282,0,0,18,82,0,32
2.5025E+11,596,255,256,0,0,17,37,0,31
2.5025E+11,554,211,171,0,0,18,114,0,40
2.5025E+11,803,292,330,0,0,33,131,17,0
2.5025E+11,1264,63,189,10,0,0,892,0,110
2.5025E+11,556,226,248,7,0,9,38,15,13
2.5025E+11,857,363,389,0,0,16,79,0,10
2.5025E+11,589,250,223,0,0,42,74,0,0
2.5025E+11,604,119,289,0,16,37,78,0,65
2.5025E+11,945,345,489,0,0,18,45,0,48
2.5025E+11,313,182,77,0,0,26,18,10,0
2.5025E+11,371,165,109,0,0,28,23,0,46
2.5025E+11,855,466,290,0,0,30,53,10,6
2.5025E+11,404,275,88,0,0,17,5,0,19
2.5025E+11,810,491,197,5,0,7,28,12,70
2.5025E+11,940,391,393,0,23,72,51,10,0
2.5025E+11,632,177,282,0,0,30,40,0,103
2.5025E+11,790,204,384,0,0,23,140,0,39
2.5025E+11,559,200,164,0,97,26,44,0,28
2.5025E+11,259,28,130,0,0,8,22,10,61
2.5025E+11,378,213,130,0,0,25,0,0,10
2.5025E+11,482,335,124,0,0,0,16,0,7
2.5025E+11,1324,317,780,0,0,94,46,10,77
2.5025E+11,524,141,227,0,0,5,142,0,9
2.5025E+11,575,153,233,0,0,62,97,0,30
2.5025E+11,1138,261,649,0,58,91,31,26,22
2.5025E+11,488,180,230,0,0,0,44,0,34
2.5025E+11,787,177,321,0,0,59,152,0,78
2.5025E+11,481,50,240,0,0,63,128,0,0
2.5025E+11,638,101,321,0,0,104,87,0,25
2.5025E+11,1042,258,479,0,0,41,185,0,79
2.5025E+11,303,208,30,0,0,26,27,0,12
2.5025E+11,1062,518,292,0,17,181,38,0,16
2.5025E+11,922,321,273,0,0,18,266,0,44
2.5025E+11,535,89,173,12,0,5,179,0,77
2.5025E+11,1428,53,286,0,0,0,1039,13,37
2.5025E+11,429,75,67,6,0,0,274,0,7
2.5025E+11,345,31,70,0,0,5,231,0,8
2.5025E+11,598,41,112,0,0,6,424,0,15
2.5025E+11,696,175,214,12,0,6,195,18,76
2.5025E+11,1392,144,362,0,0,8,759,68,51
2.5025E+11,649,89,329,0,0,7,189,0,35
2.5025E+11,402,50,187,0,0,53,112,0,0
2.5025E+11,924,221,204,18,0,56,371,40,14
2.5025E+11,944,134,273,21,0,70,446,0,0
2.5025E+11,241,23,69,0,0,0,92,33,24
2.5025E+11,535,72,107,4,0,4,321,13,14
2.5025E+11,709,83,238,0,0,12,328,1,47
2.5025E+11,396,124,148,6,0,10,90,0,18
2.5025E+11,516,77,130,0,0,8,276,0,25
2.5025E+11,1941,189,248,5,0,13,1314,23,149
2.5025E+11,322,0,100,0,0,18,204,0,0
2.5025E+11,632,113,132,22,0,48,191,0,126
2.5025E+11,628,139,248,0,0,34,207,0,0
2.5025E+11,971,196,305,0,0,115,306,22,27
2.5025E+11,592,94,133,4,5,6,323,11,16
2.5025E+11,550,51,157,0,0,0,293,32,17
2.5025E+11,1427,172,440,12,0,8,736,13,46
2.5025E+11,1020,99,234,6,0,31,626,6,18
2.5025E+11,249,31,129,0,0,0,84,0,5
2.5025E+11,1031,268,278,10,0,48,402,0,25
2.5025E+11,405,110,79,0,0,9,144,17,46
2.5025E+11,541,144,225,0,0,5,136,9,22
2.5025E+11,680,191,287,8,0,0,189,0,5
2.5025E+11,1227,393,281,16,0,0,506,24,7
2.5025E+11,576,149,235,0,0,0,133,17,42
2.5025E+11,793,186,196,0,0,9,296,17,89
2.5025E+11,527,243,142,9,0,28,84,0,21
2.5025E+11,558,94,194,20,0,25,185,30,10
2.5025E+11,637,154,197,20,0,0,213,19,34
2.5025E+11,585,119,141,15,0,4,259,7,40
2.5025E+11,512,154,101,0,0,14,208,0,35
2.5025E+11,451,128,130,36,0,0,127,0,30
2.5025E+11,765,301,78,0,0,6,352,7,21
2.5025E+11,659,185,140,25,3,19,223,0,64
2.5025E+11,753,214,114,9,0,28,325,3,60
2.5025E+11,1050,322,281,33,0,0,327,32,55
2.5025E+11,355,75,52,0,0,8,198,0,22
2.5025E+11,492,86,157,0,0,0,230,0,19
2.5025E+11,597,204,164,0,0,33,130,0,66
2.5025E+11,931,158,187,0,0,34,525,0,27
2.5025E+11,992,245,218,15,0,10,435,0,69
2.5025E+11,1003,87,388,0,0,0,506,0,22
2.5025E+11,998,86,218,0,0,67,562,0,65
2.5025E+11,930,134,153,13,0,39,538,0,53
2.5025E+11,34,12,0,0,0,0,22,0,0
2.5025E+11,1428,271,330,14,0,14,759,9,31
2.5025E+11,789,170,131,14,0,8,422,13,31
2.5025E+11,705,112,187,0,0,21,357,19,9
2.5025E+11,404,98,95,0,0,20,123,40,28
2.5025E+11,721,290,110,0,0,18,276,0,27
2.5025E+11,1112,274,238,11,0,9,548,32,0
2.5025E+11,634,124,135,0,0,0,320,0,55
2.5025E+11,1281,189,330,0,0,3,729,0,30
2.5025E+11,1270,219,186,0,0,12,636,62,155
2.5025E+11,758,44,191,0,0,49,430,0,44
2.5025E+11,650,74,145,9,0,12,358,0,52
2.5025E+11,580,138,111,0,0,0,290,0,41
2.5025E+11,1081,250,365,10,0,32,418,0,6
2.5025E+11,1000,140,283,0,0,36,510,0,31
2.5025E+11,387,131,10,0,0,0,190,0,56
2.5025E+11,817,171,178,0,0,0,437,19,12
2.5025E+11,718,180,111,10,0,32,361,9,15
2.5025E+11,647,301,71,0,0,25,156,0,94
2.5025E+11,1056,649,89,0,0,44,225,0,49
2.5025E+11,268,80,136,0,0,0,15,0,37
2.5025E+11,552,340,101,0,0,0,101,0,10
2.5025E+11,262,86,176,0,0,0,0,0,0
2.5025E+11,934,404,251,0,10,39,173,10,47
2.5025E+11,424,228,137,0,0,0,29,0,30
2.5025E+11,553,304,107,0,0,59,53,0,30
2.5025E+11,464,221,137,0,0,28,53,0,25
2.5025E+11,1079,452,397,65,0,6,141,8,10
2.5025E+11,427,222,131,0,0,0,45,0,29
2.5025E+11,890,496,325,0,0,15,37,0,17
2.5025E+11,1409,833,299,0,0,23,185,8,61
2.5025E+11,325,132,129,0,0,0,64,0,0
2.5025E+11,339,97,139,0,0,44,26,33,0
2.5025E+11,1585,777,408,13,0,44,209,27,107
2.50251E+11,883,417,435,0,0,0,31,0,0
2.50251E+11,550,337,187,0,0,0,26,0,0
2.50251E+11,1050,358,565,0,0,0,67,0,60
2.50251E+11,1216,455,578,0,0,0,129,0,54
2.50251E+11,682,223,365,0,0,0,66,28,0
2.50251E+11,611,159,342,21,0,0,63,12,14
2.50251E+11,873,166,707,0,0,0,0,0,0
2.50251E+11,399,128,202,0,0,0,43,6,20
2.50251E+11,337,123,201,0,0,0,11,0,2
2.50251E+11,423,113,305,0,0,0,0,0,5
2.50251E+11,1306,345,835,0,0,0,96,0,30
2.50251E+11,1480,394,942,0,0,27,94,0,23
2.50251E+11,780,216,490,0,0,0,57,17,0
2.50251E+11,836,268,519,0,0,0,49,0,0
2.50251E+11,1494,261,1130,0,0,0,84,0,19
2.50251E+11,872,100,669,0,0,0,26,22,55
2.50251E+11,765,123,556,0,0,0,35,8,43
2.50251E+11,980,279,642,0,0,0,39,0,20
2.50251E+11,1048,357,603,0,0,0,62,0,26
2.50251E+11,542,195,313,0,0,0,22,0,12
2.50251E+11,1190,689,454,0,0,0,47,0,0
2.50251E+11,472,206,222,26,0,0,18,0,0
2.50251E+11,622,272,309,0,0,0,0,0,41
2.50251E+11,1447,660,597,67,0,0,123,0,0
2.50251E+11,891,551,319,21,0,0,0,0,0
2.50251E+11,1049,269,767,13,0,0,0,0,0
2.50251E+11,601,256,345,0,0,0,0,0,0
2.50251E+11,148,36,102,0,0,0,0,0,10
2.50251E+11,932,271,586,35,0,0,39,0,1
2.50251E+11,577,301,218,0,0,0,20,0,38
2.50251E+11,769,546,179,0,0,0,9,26,9
2.50251E+11,467,276,154,0,0,0,16,0,21
2.50251E+11,715,342,247,0,0,20,52,0,54
2.50251E+11,587,259,199,19,0,28,71,0,11
2.50251E+11,688,292,348,0,0,35,13,0,0
2.50251E+11,946,529,327,0,0,0,79,5,6
2.50251E+11,882,397,421,29,0,8,27,0,0
2.50251E+11,495,181,284,0,11,0,19,0,0
2.50251E+11,1115,396,444,0,59,65,132,0,19
2.50251E+11,1087,559,361,0,0,0,167,0,0
2.50251E+11,903,527,341,0,0,18,17,0,0
2.50251E+11,785,346,332,0,0,0,66,0,41
2.50251E+11,696,340,179,0,0,0,52,27,98
2.50251E+11,362,187,109,0,0,0,66,0,0
2.50251E+11,682,268,319,0,0,9,65,21,0
2.50251E+11,933,525,359,5,0,0,22,17,5
2.50251E+11,569,241,202,9,0,9,72,9,27
2.50251E+11,636,253,273,0,0,7,21,38,44
2.50251E+11,419,210,95,37,0,13,0,16,48
2.50251E+11,2518,944,633,41,10,65,709,43,73
2.50251E+11,309,134,116,2,0,6,27,11,13
2.50251E+11,419,123,227,0,0,13,44,0,12
2.50251E+11,512,251,148,0,0,12,36,0,65
2.50251E+11,665,290,281,10,0,19,65,0,0
2.50251E+11,758,367,286,29,0,0,30,46,0
2.50251E+11,1392,703,458,16,0,0,202,0,13
2.50251E+11,939,358,426,36,0,0,102,9,8
2.50251E+11,294,154,81,0,0,0,59,0,0
2.50251E+11,202,95,103,0,0,0,4,0,0
2.50251E+11,212,122,82,0,0,0,8,0,0
2.50251E+11,462,185,173,0,0,0,91,13,0
2.50251E+11,2111,957,600,0,8,63,389,0,94
2.50251E+11,393,45,189,29,17,0,73,29,11
2.50251E+11,829,261,505,0,0,25,38,0,0
2.50251E+11,805,227,114,0,0,15,387,21,41
2.50251E+11,198,47,76,0,0,0,75,0,0
2.50251E+11,428,70,182,0,0,0,148,28,0
2.50251E+11,796,208,173,0,0,0,303,0,112
2.50251E+11,162,90,52,0,0,0,20,0,0
2.50251E+11,365,0,39,0,0,0,311,0,15
2.50251E+11,519,17,167,0,0,0,207,97,31
2.50251E+11,268,76,65,7,0,0,120,0,0
2.50251E+11,473,151,23,0,0,4,271,16,8
2.50251E+11,462,167,42,0,0,4,193,0,56
2.50251E+11,1336,168,206,0,0,37,855,23,47
2.50251E+11,630,290,53,34,0,12,226,0,15
2.50251E+11,685,126,94,0,0,0,465,0,0
2.50251E+11,771,141,337,0,0,59,182,18,34
2.50251E+11,1018,344,185,43,0,0,348,60,38
2.50251E+11,884,363,197,10,0,24,280,10,0
2.50251E+11,1420,517,234,20,0,156,493,0,0
2.50251E+11,128,38,30,0,0,14,46,0,0
