Id2,Aggregate travel time to work (in minutes),Less than 10 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 44 minutes,45 to 59 minutes,60 or more minutes
250250002013,23000,145,1570,1475,2295,1575,6030,2755,1755,5400
250250003022,24210,375,815,1065,2560,1100,5790,4945,2940,4620
250250004021,22430,260,390,1245,1520,750,3690,1710,2715,10150
250250005022,13655,165,855,690,1140,2150,2460,1215,2770,2205
250250007015,50525,-,670,1245,1440,1050,6240,9620,10450,19810
250250007032,18330,185,400,645,1080,425,3480,3960,2340,5815
250250008024,27755,-,1250,2760,3740,1475,6660,5240,3270,3360
250250008025,24195,260,1010,2250,1860,1875,4680,1915,7465,2880
250250101033,12090,800,955,1405,840,425,1800,520,900,4450
250250102042,12725,950,1400,1050,1840,575,3240,490,1650,1530
250250103002,25725,3930,3780,2700,2480,1270,3210,2270,2150,3930
250250104041,25630,325,1320,2190,2680,1075,5790,2040,2115,8100
250250104051,29435,1710,1760,2175,3600,1225,4560,2455,4860,7090
250250104052,20745,1210,1730,2075,1160,1125,3660,3695,2005,4085
250250104081,27510,195,1380,2640,3280,850,6270,4145,3090,5660
250250107011,18750,585,900,1245,2100,875,1890,2450,4500,4200
250250107022,10350,320,870,1620,2580,1150,2640,-,1170,-
250250108022,22510,570,1955,1305,3250,1275,6660,2890,2295,2310
250250203012,29805,1100,970,2430,5160,3625,6900,3815,3945,1860
250250203031,16100,360,270,1360,4205,2150,2610,2020,-,3120
250250301001,30835,320,1630,2905,3870,2100,3810,3795,4025,8380
250250302001,30075,575,890,5375,3320,3500,5220,2480,3115,5600
250250304001,28695,230,1305,1250,5660,2375,7230,1215,6210,3220
250250304002,21090,770,880,1515,3240,5425,5430,1220,1350,1260
250250401002,26665,205,1515,2025,3360,1250,6150,5485,2115,4560
250250402002,14700,210,515,905,1880,950,2910,2585,1890,2860
250250406002,36570,160,1070,2715,5180,4075,10110,3835,4155,5275
250250408013,46965,390,1140,1785,4600,1475,13470,5920,4840,13345
250250504002,41470,245,570,3795,2300,3275,7470,7680,2710,13425
250250505001,45460,265,640,3735,3140,2920,11040,4025,8235,11460
250250506002,24660,355,670,1305,2820,1450,6840,1020,4080,6120
250250510001,29600,565,1290,2550,4240,1200,8640,3825,4050,3240
250250512002,30240,245,800,825,2200,2275,3750,4485,4430,11230
250250601011,20795,165,560,1270,2200,3390,5820,1680,3970,1740
250250606001,64040,1130,2720,6515,8235,5375,9150,6150,9245,15520
250250607001,7230,45,445,555,780,950,1980,1240,-,1230
250250611012,13055,125,695,605,1235,-,3660,1540,2615,2580
250250612001,52165,900,2855,5235,5790,2875,11010,7445,4440,11615
250250701011,17140,895,340,630,3400,2150,4380,1960,3385,-
250250702002,11330,450,550,540,240,-,2160,1725,2065,3600
250250704021,25490,210,1105,2850,1750,1300,4860,2675,3335,7400
250250705003,29965,675,1400,2550,1880,2125,5580,3145,5415,7200
250250707002,26660,570,445,1880,3100,2300,3720,4295,1755,8590
250250709001,35170,425,1185,3435,4340,2500,7020,5325,5195,5740
250250712011,26085,400,1525,3150,3280,3425,3840,1990,3725,4750
250250806011,23055,910,1430,2565,1990,1525,3300,4600,3735,3000
250250907003,22065,-,1060,405,740,1950,4560,2765,7745,2840
250250914002,14720,130,360,1325,1080,550,3990,1500,1290,4500
250250920002,24840,-,265,750,1380,2025,7320,2360,2250,8490
250251006031,28370,260,1150,1305,2900,1345,4270,3790,3780,9570
250251010015,16690,-,-,855,1840,-,-,-,3315,10680
250251010023,58810,-,740,1620,2275,2500,1170,7905,9720,32880
250251102011,41130,220,590,1035,4460,1050,8340,5270,5795,14370
250251104012,36540,320,540,2070,4980,2725,6630,6220,6210,6845
250251105012,29655,-,1125,600,1800,1275,4140,4790,8140,7785
250251105022,45045,350,650,2310,3360,3550,7350,4770,8290,14415
250251201031,26615,505,500,1260,3820,1000,3960,5385,6600,3585
250251201043,19295,165,420,1185,1240,1075,2760,5790,3690,2970
250251202011,27355,200,780,345,1880,1975,3300,3955,6800,8120
250251202012,39640,190,1645,555,2500,2860,7530,6390,10510,7460
250251203014,22160,195,475,825,2120,1470,7230,1840,5240,2760
250251205001,13800,-,300,555,2460,1250,2700,800,4715,1020
250251304041,32420,240,625,1690,3040,2025,3420,2245,5935,13200
250251401024,24140,200,570,765,3840,925,3420,3200,5330,5885
250251401051,59120,235,300,1890,3520,1550,17850,6395,7920,19455
250251401061,27880,165,555,515,2800,975,1770,3975,5125,12005
250251401071,39685,170,510,990,3420,2600,7495,2185,8555,13760
250251402011,22285,130,230,900,2200,775,2490,895,2815,11850
250251402012,27185,460,330,1800,1640,1140,4020,1130,7140,9525
250251602001,30885,655,1785,3220,940,-,2970,-,4095,17220
250251603001,26450,255,900,540,2700,550,5610,5055,4015,6825
250251604001,23685,675,690,1340,2580,1050,4080,3285,4890,5100
250251604002,38925,275,460,1755,765,1150,4110,2205,2375,25835
250251605011,31300,485,910,1575,3580,1500,4050,5220,2700,11280
250251605021,27960,180,1180,2275,4340,900,6240,2320,5680,4845
250251606011,36335,270,1080,2150,3760,2350,2580,9540,4675,9925
250251606012,39600,485,1120,975,2520,1325,3630,7450,6380,15715
250251702002,25675,440,1400,1050,1360,-,5250,2720,7425,6030
250251704004,42955,165,2820,3870,1560,1450,8550,3760,6120,14660
250251706012,27985,755,1190,1800,2400,1450,2790,3520,2700,11380
250251707012,24790,235,380,-,1860,400,2820,3855,7215,8025
250251801013,36300,425,900,1260,3560,1425,6450,3910,10020,8350
250251804002,23725,335,540,345,2300,550,2550,5140,3105,8860
250251805001,26305,420,610,390,1040,1650,5160,2140,8055,6840
250251805003,21985,390,785,405,1600,700,2040,3160,2155,10750
250259807001,-,-,-,-,-,-,-,-,-,-
250259810001,-,-,-,-,-,-,-,-,-,-
250259811001,-,-,-,-,-,-,-,-,-,-
250259811002,-,-,-,-,-,-,-,-,-,-
250259811003,-,-,-,-,-,-,-,-,-,-
250259812011,-,-,-,-,-,-,-,-,-,-
250259813001,-,-,-,-,-,-,-,-,-,-
250259815011,-,-,-,-,-,-,-,-,-,-
250259816001,-,-,-,-,-,-,-,-,-,-
250259817001,-,-,-,-,-,-,-,-,-,-
250173001001,30250,470,355,1600,3180,1575,3630,3870,3930,11635
250173001002,27865,140,210,1075,1880,950,3375,760,4205,15270
250173011011,32125,395,590,960,1590,2375,3300,1780,6715,14420
250173011021,30155,515,600,495,960,725,3510,5505,4290,13550
250173011022,44065,95,1160,1665,4130,1050,4740,6145,10090,14990
250173011023,28180,320,375,1320,1895,975,2940,3190,8980,8185
250173111002,17135,755,220,1780,2380,400,3750,1155,1845,4845
250173113003,21425,370,595,1655,4640,625,3360,-,2300,7880
250173116001,22855,375,1630,1920,5760,1575,2460,835,2790,5510
250173116002,22995,605,460,1140,1260,1775,2550,4755,3950,6500
250173124002,19785,395,1425,3535,2665,860,2610,560,1755,5975
250173125011,28405,235,1705,4230,1840,1100,3000,1200,3600,11495
250173125021,23640,400,2080,2595,4140,2025,2670,880,4810,4040
250173131011,30445,790,1240,3455,7600,1550,3090,3865,5015,3840
250173131012,42720,815,860,3135,2620,2350,5400,6020,12650,8865
250173131023,42120,585,890,2430,6760,1875,9150,5315,6190,8925
250173131024,25225,700,1085,1395,2220,1100,4110,2815,4360,7440
250173141011,28140,245,700,1245,900,1125,4170,4185,6790,8780
250173141013,60300,975,2690,2880,5690,1100,8985,12270,10950,14755
250173142002,35795,1075,950,1485,2260,3125,5400,3415,3015,15070
250173143013,35215,295,700,3225,5060,6520,7620,3085,2565,6150
250173143022,33385,265,790,1040,3560,1825,3900,5595,2115,14295
250173151001,39625,545,1340,3765,3520,1810,5190,5590,8620,9245
250173151002,49605,1020,2080,4725,4920,2900,7920,8435,8995,8610
250173152002,46545,290,830,4190,4380,1950,6740,8445,5570,14150
250173154011,27335,435,765,2235,1400,1125,7410,2100,2555,9310
250173154012,21035,315,390,1305,2900,1550,4770,3385,2970,3450
250173154021,16190,175,330,1545,1220,875,2130,1215,1260,7440
250173154022,34385,495,1380,1805,2380,1425,5700,4080,3735,13385
250173155005,25265,215,480,1365,2460,1525,3270,3175,2055,10720
250173161011,26295,170,1585,3180,1600,1150,2610,1560,8220,6220
250173161013,30720,350,1910,710,4400,2550,4055,1460,6055,9230
250173162012,29915,335,1345,2915,3560,2725,3630,3050,7060,5295
250173162022,31195,370,1025,2240,1540,800,7620,3940,6885,6775
250173163001,67350,1160,1270,2055,9980,3150,15840,3385,6660,23850
250173163005,36955,700,1030,3510,1820,1475,5130,8115,3965,11210
250173164001,17670,370,530,1350,1280,850,1200,1665,2615,7810
250173164004,24335,175,805,1775,4520,1425,3270,2340,7485,2545
250173164006,-,-,-,-,-,-,-,-,-,-
250173171014,35940,805,2070,1650,6120,1650,8160,1960,4590,8935
250173171021,23260,1000,750,1620,2000,800,3120,2860,5305,5805
250173171023,22570,745,700,480,3560,1375,3590,2685,3060,6375
250173171031,31005,525,1920,2455,1400,2150,6930,2840,3925,8860
250173171032,22935,335,800,2385,2580,1175,2880,2955,3855,5970
250173172011,21965,225,660,1950,1760,1650,2460,770,2290,10200
250173172012,26045,140,540,1995,1320,1500,720,1940,7545,10345
250173172021,26560,160,780,1900,2380,875,2640,1895,4125,11800
